GroupID	FishTypeIDs	FishNumber
0	19;20;21	1
1	3;4;5;6;7;8;9;10;3;4;5;6;7;8;9;10;6;7;8;9;11;12;13;14;11;12;13;14;12;13;14;15;16;17;18	1
2	1	2
3	1	2
4	1	2
5	1	2
6	1	3
7	1	3
8	1	3
9	1	3
10	1	3
11	1	4
12	1	4
13	1	4
14	1	4
15	1	4
16	1	4
17	1	4
18	1	4
19	1	5
20	1	5
21	1	5
22	1	5
23	1	5
24	1	5
25	1	5
26	1	5
27	1	20
28	1	9
29	1	12
30	1	7
31	1	16
32	1	7
33	1	5
34	1	6
35	1	6
36	1	6
37	1	12
38	1	6
39	1	6
40	1	6
41	1	6
42	1	6
43	1	6
44	1	6
45	1	6
46	1	7
47	1	7
48	1	7
49	1	7
50	1	7
51	1	7
52	1	8
53	1	16
54	1	9
55	1	17
56	7	3
57	5	6
58	1	6
59	13;14;15	3
60	1	10
61	1	8
62	8	16
63	13;14	2
64	208	21
65	209	4
66	210	2
67	204	2
68	212	18
69	208	24
70	206	40
