FishTypeId	Name	Rate	MinMul	MaxMul	PoolNumber	RateAlone	RateInTotal	CanHasShadow	IsFish1	IsFish2	IsFish3
1	ca_noc	0,5	2	2	30	0	0	0	1	1	0
2	bach_tuoc	0,333	3	3	25	30	30	1	1	0	0
3	ca_purple	0,25	4	4	20	30	60	1	1	0	0
4	ca_long_den	0,2	5	5	20	30	90	1	1	0	0
5	ca_guppy	0,167	6	6	20	30	120	1	1	0	0
6	ca_duoi	0,083	15	15	20	20	140	1	1	1	0
7	rua	0,125	8	8	20	20	165	1	1	1	0
8	ca_sung	0,111	9	9	20	30	195	1	1	0	0
9	ca_ngua	0,1	10	10	20	25	220	0	1	0	0
10	ca_soc	0,067	12	12	20	25	245	0	1	0	0
11	ca_map	0,033	30	30	5	5	250	0	1	0	0
12	ca_heo	0,02	50	90	5	2	252	0	1	0	0
13	tien_ca_tim	0,2	5	15	10	10	262	0	1	1	0
14	tien_ca_xanh	0,1	10	15	10	10	272	0	1	1	0
15	tien_ca_vang	0,05	20	50	10	10	282	0	1	0	0
16	3_tien_ca_tim	0,067	15	45	3	1	283	0	1	0	0
17	3_tien_ca_xanh_tim	0,05	20	50	3	1	284	0	1	0	0
18	3_tien_ca_xanh	0,033	30	60	3	1	285	0	1	0	0
19	3_tien_ca_vang	0,017	60	90	1	1	286	0	1	0	0
20	tien_ca_do	0,02	50	90	1	2	288	0	1	0	0
21	tien_ca_den	0,007	90	90	1	2	290	0	1	0	0
22	boss	0,02	50	90	1	4	294	0	1	0	0
23	jackpot	0,002	600	800	1	4	298	0	1	0	0
102	PLT/ca_bong_bong	0,333	3	3	30	30	328	1	0	1	0
103	PLT/bach_tuoc_hong	0,25	4	4	25	30	358	1	0	1	0
104	PLT/ca_den	0,2	5	5	20	30	388	1	0	1	0
105	PLT/tom_hum	0,167	6	6	20	30	418	0	0	1	0
108	PLT/sua_bien	0,111	9	9	20	30	448	0	0	1	0
109	PLT/ca_do	0,1	10	10	20	25	473	1	0	1	0
110	PLT/ca_co_canh	0,143	7	7	20	30	503	0	0	1	0
111	PLT/ca_map_xanh	0,033	30	30	20	20	523	0	0	1	0
112	PLT/tien_ca_do	0,003	90	90	20	5	528	0	0	1	0
115	PLT/tien_ca_do_baby	0,05	20	50	20	10	538	0	0	1	0
116	PLT/ly_tinh	0,005	90	90	5	2	540	0	0	1	0
117	PLT/so_plt	0,005	90	90	5	2	542	0	0	1	0
118	PLT/plt_tien_ca_vang_lon	0,02	50	90	5	2	544	0	0	1	0
119	PLT/cua_khong_lo	0,005	80	90	5	0	544	0	0	1	0
120	PLT/jackpot	0,002	600	800	1	4	548	0	0	1	1
198	MN/ca_xanh_ngan	0	3	3	40	40	328	1	0	0	1
199	MN/ca_tim_ngan	0	3	3	40	40	328	1	0	0	1
200	MN/ca_ro_xanh	0	3	3	40	40	328	0	0	0	1
201	MN/ca_ro_tim	0	3	3	40	40	328	0	0	0	1
202	MN/ca_xanh	0	7	7	40	40	328	1	0	0	1
203	MN/ca_bong_bong	0	5	5	40	40	328	1	0	0	1
204	MN/ca_duoi	0	15	15	40	40	328	1	0	0	1
205	MN/ca_ngua	0	13	13	40	40	328	1	0	0	1
206	MN/sua	0	9	9	40	40	328	1	0	0	1
207	MN/rua	0	11	11	40	40	328	1	0	0	1
208	MN/ca_tim_dai	0	5	5	40	40	328	0	0	0	1
209	MN/bach_tuot	0	20	20	10	5	328	0	0	0	1
210	MN/ca_map_tim	0	30	30	10	5	328	0	0	0	1
211	MN/ca_map_vang	0	40	40	10	5	328	0	0	0	1
212	MN/bomb	0	70	80	5	3	328	0	0	0	1
213	MN/voi	0	90	90	5	3	328	0	0	0	1
214	MN/ca_map_may	0	50	90	30	3	328	0	0	0	1
215	MN/tien_ca	0	90	90	1	4	328	0	0	0	1
216	MN/voi_xoay	0	70	80	1	3	328	0	0	0	1
217	MN/tim_baba	0	52	52	1	3	328	0	0	0	1
218	MN/tim_bach_tuot	0	70	70	1	3	328	0	0	0	1
219	MN/vang_bach_tuot	0	80	80	1	3	328	0	0	0	1
220	MN/vang_tim	0	90	90	1	3	328	0	0	0	1
221	MN/vang_vang	0	90	90	1	3	328	0	0	0	1
