ID	FishGroupPrefab	FishID CountOfFish
1	alone	10;11;12;13;14;15;16;17;18;19	1
2	id_fishgroup_2_1	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
3	id_fishgroup_2_2	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
4	id_fishgroup_2_3	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
5	id_fishgroup_2_4	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
6	id_fishgroup_3_1	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
7	id_fishgroup_3_2	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
8	id_fishgroup_3_3	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
9	id_fishgroup_3_4	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
10	id_fishgroup_3_5	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
11	id_fishgroup_4_1	6;7;8;9;10;11;12;13;14	4
12	id_fishgroup_4_2	6;7;8;9;10;11;12;13;14	4
13	id_fishgroup_4_3	6;7;8;9;10;11;12;13;14	4
14	id_fishgroup_4_4	6;7;8;9;10;11;12;13;14	4
15	id_fishgroup_4_5	1;2;3;4;5;6;7;8;9	4
16	id_fishgroup_4_6	1;2;3;4;5;6;7;8;9	4
17	id_fishgroup_4_7	1;2;3;4;5;6;7;8;9	4
18	id_fishgroup_4_8	1;2;3;4;5;6;7;8;9	4
19	id_fishgroup_5_1	1;2;3;4;5;6;7;8;9	5
20	id_fishgroup_5_2	1;2;3;4;5;6;7;8;9	5
21	id_fishgroup_5_3	1;2;3;4;5;6;7;8;9	5
22	id_fishgroup_5_4	1;2;3;4;5;6;7;8;9	5
23	id_fishgroup_5_5	1;2;3;4;5;6;7;8;9	5
24	id_fishgroup_5_6	1;2;3;4;5;6;7;8;9	5
25	id_fishgroup_5_7	1;2;3;4;5;6;7;8;9;19	5
26	id_fishgroup_5_8	1;2;3;4;5;6;7;8;9	5
27	id_fishgroup_small_1	1;2;3;4;5	30
28	id_fishgroup_small_2	1;2;3;4;5	9
29	id_fishgroup_small_3	1;2;3;4;5;16	12
30	id_fishgroup_small_4	1;2;3;4;5	10
31	id_fishgroup_small_5	1;2;3;4;5	16
32	id_fishgroup_small_6	1;2;3;4;5;16	7
33	id_fishgroup_small_7	1;2;3;4;5	10
34	id_fishgroup_small_8	1;2;3;4;5	6
35	id_fishgroup_small_9	1;2;3;4;5	6
36	id_fishgroup_small_10	1;2;3;4;5	6
37	id_fishgroup_small_11	1;2;3;4;5	12
38	id_fishgroup_6_1	1;2;3;4;5;6	6
39	id_fishgroup_6_2	1;2;3;4;5;7	6
40	id_fishgroup_6_3	1;2;3;4;5;6	6
41	id_fishgroup_6_4	1;2;3;4;5;7	6
42	id_fishgroup_6_5	1;2;3;4;5;6	6
43	id_fishgroup_6_6	1;2;3;4;5;7	6
44	id_fishgroup_6_7	1;2;3;4;5;8	6
45	id_fishgroup_6_9	1;2;3;4;5;9	6
46	id_fishgroup_7_1	1;2;3;4;5;6	7
47	id_fishgroup_7_2	1;2;3;4;5;7	7
48	id_fishgroup_7_3	1;2;3;4;5;6	7
49	id_fishgroup_7_4	1;2;3;4;5;7	7
50	id_fishgroup_7_5	1;2;3;4;5	7
51	id_fishgroup_7_6	1;2;3;4;5	7
