ID	FishIDs FishNumber
1	10;11;12;13;14;15;16;17;18;19	1
2	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
3	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
4	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
5	6;7;8;9;10;11;12;13;14;15;16;17;18;19	2
6	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
7	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
8	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
9	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
10	6;7;8;9;10;11;12;13;14;15;16;17;18;19	3
11	6;7;8;9;10;11;12;13;14	4
12	6;7;8;9;10;11;12;13;14	4
13	6;7;8;9;10;11;12;13;14	4
14	6;7;8;9;10;11;12;13;14	4
15	1;2;3;4;5;6;7;8;9	4
16	1;2;3;4;5;6;7;8;9	4
17	1;2;3;4;5;6;7;8;9	4
18	1;2;3;4;5;6;7;8;9	4
19	1;2;3;4;5;6;7;8;9	5
20	1;2;3;4;5;6;7;8;9	5
21	1;2;3;4;5;6;7;8;9	5
22	1;2;3;4;5;6;7;8;9	5
23	1;2;3;4;5;6;7;8;9	5
24	1;2;3;4;5;6;7;8;9	5
25	1;2;3;4;5;6;7;8;9;19	5
26	1;2;3;4;5;6;7;8;9	5
27	1;2;3;4;5	30
28	1;2;3;4;5	9
29	1;2;3;4;5;16	12
30	1;2;3;4;5	10
31	1;2;3;4;5	16
32	1;2;3;4;5;16	7
33	1;2;3;4;5	10
34	1;2;3;4;5	6
35	1;2;3;4;5	6
36	1;2;3;4;5	6
37	1;2;3;4;5	12
38	1;2;3;4;5;6	6
39	1;2;3;4;5;7	6
40	1;2;3;4;5;6	6
41	1;2;3;4;5;7	6
42	1;2;3;4;5;6	6
43	1;2;3;4;5;7	6
44	1;2;3;4;5;8	6
45	1;2;3;4;5;9	6
46	1;2;3;4;5;6	7
47	1;2;3;4;5;7	7
48	1;2;3;4;5;6	7
49	1;2;3;4;5;7	7
50	1;2;3;4;5	7
51	1;2;3;4;5	7
